Icon filename,File type,Transparent background,Dimensions,File size bytes,Suggested category,Local path
HHT_Icons_Clock.png,PNG,Yes,1001x1001,37338,Prep / aftercare icon,assets/hht/pngs_lilac/HHT_Icons_Clock.png
HHT_Icons_Moon.png,PNG,Yes,1001x1001,28222,Prep / aftercare icon,assets/hht/pngs_lilac/HHT_Icons_Moon.png
HHT_Icons_Pool.png,PNG,Yes,1001x1001,30496,Prep / aftercare icon,assets/hht/pngs_lilac/HHT_Icons_Pool.png
HHT_Icons_Shower.png,PNG,Yes,1000x1000,28070,Prep / aftercare icon,assets/hht/pngs_lilac/HHT_Icons_Shower.png
HHT_Icons_Sun.png,PNG,Yes,1001x1001,35244,Prep / aftercare icon,assets/hht/pngs_lilac/HHT_Icons_Sun.png
HHT_Icons_Water.png,PNG,Yes,1001x1001,29399,Prep / aftercare icon,assets/hht/pngs_lilac/HHT_Icons_Water.png
HH_icon_Camera.png,PNG,Yes,2501x2500,137191,Brand / feature icon,assets/hht/pngs_lilac/HH_icon_Camera.png
HH_icon_Crown.png,PNG,Yes,2501x2501,138686,Brand / feature icon,assets/hht/pngs_lilac/HH_icon_Crown.png
HH_icon_Gift.png,PNG,Yes,2501x2500,81769,Brand / feature icon,assets/hht/pngs_lilac/HH_icon_Gift.png
HH_icon_Location.png,PNG,Yes,2500x2500,106802,Brand / feature icon,assets/hht/pngs_lilac/HH_icon_Location.png
HH_icon_NailPolish.png,PNG,Yes,2501x2501,125926,Brand / feature icon,assets/hht/pngs_lilac/HH_icon_NailPolish.png
HH_icon_SalesTag.png,PNG,Yes,2501x2500,148525,Brand / feature icon,assets/hht/pngs_lilac/HH_icon_SalesTag.png
HH_icon_Suitcase.png,PNG,Yes,2501x2501,93936,Brand / feature icon,assets/hht/pngs_lilac/HH_icon_Suitcase.png
HH_icon_Sun.png,PNG,Yes,2500x2501,120356,Brand / feature icon,assets/hht/pngs_lilac/HH_icon_Sun.png
icon-add-ons-sparkle.png,PNG,Yes,69x62,3001,Services pricing / UI icon,assets/hht/pngs_lilac/icon-add-ons-sparkle.png
icon-core-services-sun.png,PNG,Yes,88x88,4911,Services pricing / UI icon,assets/hht/pngs_lilac/icon-core-services-sun.png
icon-group-experiences-heart.png,PNG,Yes,54x47,2728,Services pricing / UI icon,assets/hht/pngs_lilac/icon-group-experiences-heart.png
icon-memberships-crown.png,PNG,Yes,73x62,3580,Services pricing / UI icon,assets/hht/pngs_lilac/icon-memberships-crown.png
icon-partial-tans-half-sun.png,PNG,Yes,77x45,2596,Services pricing / UI icon,assets/hht/pngs_lilac/icon-partial-tans-half-sun.png
icon-special-offer-star.png,PNG,Yes,71x66,3267,Services pricing / UI icon,assets/hht/pngs_lilac/icon-special-offer-star.png
icon-tan-packages-present.png,PNG,Yes,60x58,2510,Services pricing / UI icon,assets/hht/pngs_lilac/icon-tan-packages-present.png
